,Outlier,comment_count,down_votes,reputation,score,up_votes,user_id,view_count,views
4282,down_votes,0,158,5353,0,1538,1998086,4,495
4283,down_votes,1,158,5353,0,1538,1998086,15,495
4353,down_votes,0,212,5809,0,625,2086401,11,893
4355,down_votes,0,111,6195,-1,764,3310334,17,1344
4380,down_votes,0,53,8226,0,1029,61311,10,1149
4381,down_votes,4,53,8226,0,1029,61311,12,1149
4413,down_votes,3,61,1402,0,164,1925536,9,401
4414,down_votes,0,61,1402,0,164,1925536,15,401
4415,down_votes,3,61,1402,0,164,1925536,20,401
4416,down_votes,0,61,1402,0,164,1925536,15,401
4421,down_votes,0,5348,212764,0,9057,82548,8,18175
4422,down_votes,6,97,31238,0,412,183579,16,1644
4452,down_votes,0,63,4823,0,241,559760,10,529
4453,down_votes,0,63,4823,0,241,559760,13,529
4458,down_votes,0,125,3545,0,1008,1100265,14,473
4469,down_votes,0,176,32077,1,1115,7512,16,2978
4470,down_votes,0,176,32077,0,1115,7512,18,2978
4477,down_votes,0,117,12034,0,951,493762,11,529
4487,down_votes,0,76,1465,0,199,2739654,20,187
4488,down_votes,0,76,1465,0,199,2739654,15,187
4505,down_votes,0,43,1474,0,503,2808373,8,159
4506,down_votes,0,43,1474,0,503,2808373,11,159
4507,down_votes,0,43,1474,0,503,2808373,19,159
4510,down_votes,0,96,7104,0,979,67316,17,381
2,score,0,17059,183790,2,14348,253056,20,23287
6,score,0,13,2073,1,1964,1499072,9,340
11,score,2,0,213,-1,11,3385136,16,65
15,score,2,5,1145,1,80,3420034,16,155
16,score,0,34,3053,-2,1154,4921194,16,520
17,score,0,18,5878,1,567,26778,19,757
29,score,0,28,27410,2,727,911930,16,2700
30,score,0,28,27410,1,727,911930,19,2700
32,score,0,28,27410,1,727,911930,10,2700
53,score,3,11,34006,-1,1262,683553,19,1640
60,score,2,1,359,1,103,2136363,20,32
62,score,7,46,1234,1,121,2393347,19,105
66,score,1,121,32089,1,1355,138578,20,4762
70,score,0,20,12889,1,695,400790,19,610
72,score,0,18,1311,1,137,600240,11,183
74,score,0,3,770,1,341,667786,20,108
78,score,0,0,97,1,6,1306251,16,16
81,score,5,6,494,1,71,3518938,18,36
83,score,0,9,1971,1,655,3932615,18,179
86,score,2,0,585,-2,40,4755028,19,198
95,score,0,5,1202,-1,361,276809,9,146
97,score,0,0,1773,1,55,591032,20,104
98,score,2,188,5316,2,306,639771,20,553
102,score,0,14,1790,-1,719,1197723,20,137
105,score,3,5,419,1,90,2086789,18,56
116,score,1,7,2445,2,1005,1300519,19,211
117,score,2,7,2445,1,1005,1300519,14,211
119,score,0,19,2714,1,68,1718543,19,525
129,score,3,0,349,1,11,4382693,17,76
133,score,1,0,247,1,43,5836151,15,25
138,score,2,9,9020,1,201,114865,18,743
141,score,1,68,6627,2,595,1446048,20,828
142,score,4,68,6627,1,595,1446048,13,828
146,score,0,6,1830,1,513,69850,19,193
148,score,0,23,3312,1,663,148424,18,532
149,score,3,19,3766,1,138,222018,15,226
151,score,0,19,3766,1,138,222018,18,226
157,score,5,24,2033,1,445,1030100,14,446
162,score,2,70,3704,-1,157,1373484,19,306
168,score,0,0,355,-2,27,5511290,20,52
170,score,1,242,39423,1,2998,199700,16,6794
173,score,1,22,4727,1,333,478176,15,800
178,score,1,2,495,-2,53,2627859,16,116
191,score,0,6,7054,1,41,732379,17,264
202,score,1,50,34643,1,593,5975,10,2076
203,score,0,50,34643,1,593,5975,20,2076
206,score,0,17,3198,1,170,63286,15,396
210,score,0,32,4092,2,1333,1517244,18,221
212,score,0,48,3103,2,353,1847261,14,168
214,score,2,0,479,1,103,3965274,13,48
218,score,2,461,187688,4,3899,324584,18,27257
219,score,1,1,1533,1,957,394639,14,150
222,score,0,6,409,1,25,946368,17,31
227,score,5,41,6573,1,315,1957849,18,765
232,score,0,0,133,1,6,671692,16,24
238,score,0,1,244,2,33,4948368,15,73
243,score,2,0,485,1,27,419426,20,66
249,score,0,22,2202,1,61,2061989,14,334
255,score,0,4,6343,-1,22,460407,11,501
